"ASV_hash","Station_47"
"02844e36bfee71a127da3fed7d8be4c4",6
"144907d5a2a006270e10f26de219c707",5
"22f254d6e601aa67bd58a0c35f91841b",78
"25406317b88e6e66c2cb3caa4a12b955",13
"254a833f520a4e9b57290ca01eeb674b",4
"289ad5c58063d28e35d4c17c69802d1e",10
"2bae338e45e288204eb2f67763ae63d9",433
"2bd78d319605af225f3fe23f65b7a4f6",90
"383d1b3a7addddcbe98bb8b1867754f2",4
"3c1ed87db1dcb93f3dc9b144f7c1c828",20
"3f7614f2da2c08e79a5a7fdd0dc0fcdf",6
"3fe11380a9be298f247163bc78dafeb5",485
"44b385321b2925ef3e876fafc38f84b7",57
"473b2cb83f5bab191bd122bacded9ece",7
"5263310284bb210da786fea517ecc97c",58
"5ce78e3c4f46db218721ac9e571ba8c6",5
"5db92f9ffa0ae5299422c610944db6db",6
"66bdd3c94b3b8a67626c85aa1bf27dc2",32
"6cf1910034583c319c18acf595a75013",18
"6f6aa60ebee114df28c92a4a9ab8fed5",2
"74d0f57ba6ebfc50f169d50d52a35004",8
"750aa8ae079867edc31d5618f84c890b",30
"8b852fd6e88de80e73a14b8b04c08167",3
"a4bbf321b62347b786db54851177ca16",8
"a5345d7680e02e651bc60478ba492087",249
"a58c48f5c8b56e2c14927b6d6ed2f599",28
"a59cc42d97a8c37ca13e37e8d2ba5a90",11
"a83b9e80ff224a6a8d4aff7379415189",127
"acd51fd9416ea7c6ba44773304d8e6b5",5
"b3903eda51591a57f0bdb5395ca300c3",4
"b401b4e45a19e0da9cf0303087704948",4
"b9d0260e182d32e82cb2793eb7b8325d",30
"badcc2dff8b101cb0f1a8ecf39d80b82",47
"bb483aa18998c35ed5ad3d21faa810e3",3
"bc63b40ded854a385d47328f0a82a814",7
"c4f4577920724fff144255355c601b07",2
"c5e018b7b14cc0fb7a28d0e11b2d7f40",3
"cd74ef380d5bbfdd55d136d0d5e77362",2
"d86414bfbd6f04998c7d77fe3c17c352",9
"d9ecc80ec2ad65f7907183e38ee719a5",25
"da7860c2a58e2a1c4695228366a86244",19
"db14d6dc7934520358872dbf8992b602",129
"ecf14f4e5dcf2014f5200c03abadd726",5
"fc3642efcc1ad80187fd56078f686b5d",14
"fece9689a780657e799c36d2ada3b155",7
