"ASV_hash","Station_11","Station_117","Station_125","Station_135","Station_145","Station_162","Station_193","Station_199","Station_32","Station_45","Station_91"
"000f99ec62418bd5fa23afe980aa84e4",14,0,0,0,0,0,0,0,0,0,0
"018f7b6c7d1da4d0bc4399cbd4fbe686",16,0,0,0,0,0,0,0,0,0,0
"01eb2a55b4a7465e2c2bb2c5a6e83edf",3,0,0,0,0,0,0,0,0,0,0
"05110063c77ff440e5b3e14df95bdf73",15,0,0,0,0,0,0,0,0,0,0
"054469e3d202c6f26d21ce442e2bdde3",21,0,0,0,0,0,0,0,0,0,0
"061d845d3486316712bccde01a28197a",53,0,0,0,0,0,0,0,20,0,0
"06f004cb40308a4cbec56e502282de3d",24,0,0,0,0,0,0,0,70,40,0
"0aec45e126ef4644208261680651f321",12,0,0,0,0,0,0,0,0,0,0
"0aee7c70538c8a5d7f67293b7035703b",26,0,0,0,0,0,0,0,0,0,0
"0b29518c46ccadc501f7ff58e111d484",113,0,0,0,0,0,0,0,0,0,0
"0bda17dd02da77ee3ce74788c505a9b1",93,0,0,0,0,0,0,0,0,0,0
"0da941cd512f36c61393a43c0ccdaaf2",24,0,0,0,0,0,0,0,0,0,0
"0db866589f46e2c6d86bd8cda8a06fbe",275,0,0,0,0,0,0,0,55,0,0
"0e64fc48b6e6a316c50bc5c82907b46e",3,0,0,0,0,0,0,0,0,0,0
"0eef60da3afcad0465c304e492ad3673",37,0,0,0,0,0,0,0,10,0,0
"103920f17b7842d28ea1682f5c264ce8",10,0,0,0,0,0,0,0,0,0,0
"12a7ea5f662cc15ee7ff3c89f7049d22",130,0,0,0,0,0,0,0,120,0,0
"147e3b8b48f284ee2c1e3321e4f252b4",15,0,0,0,0,0,0,0,0,0,0
"151e59f15d96c003d27bdef3d3b81b0c",10,0,0,0,0,0,0,0,0,0,0
"1557f92147ef23202b25bc9fced7ae82",60,0,0,0,0,0,0,0,23,0,0
"15b4e28e2e78e651ff42b1c6c4e7fb5c",16,0,0,84,0,0,0,35,29,0,0
"160e3bbb57a5862403299610d8ef7146",72,0,0,0,0,0,0,0,35,46,0
"16a5df516d2848da329954d1e50482a3",237,0,0,0,0,0,0,0,0,0,0
"16e8ff2cafbb462a012ed7afaa560794",24,0,0,0,0,0,0,0,0,0,0
"17330d3566ba76ab23205257fde9fc58",24,0,0,0,0,0,0,0,0,0,0
"19c19bb993d300889cdd53063f2cce8f",5,0,0,0,0,0,0,0,13,4,0
"1a4417c7e055810790ab2c0cdf8a9821",12261,0,0,0,0,0,0,0,10959,0,0
"1b034e2b893fe8ee0b9d793c2ed68e56",28,0,0,0,0,0,0,0,0,0,0
"1b5cab98e4f7c4c34a71f51614b5aa90",76,0,0,0,0,0,0,0,10,0,0
"1d0798e9fa9318b30a4ba865332ce94a",67,0,0,0,0,0,0,0,40,0,0
"1ed4cd164c76cfab0841c40a1d1427a7",20,0,0,0,0,0,0,0,7,0,0
"1f5d5e364c1d3de092f3b00d87882b10",304,0,0,0,0,0,0,0,0,0,0
"20df96479d7044a3dbe1f11dd162b36f",30,0,0,0,0,0,0,0,23,0,0
"210b882b2286640e025df3554b589733",11,0,0,0,0,0,0,0,0,0,0
"22c42d5af8cc6499df57081705b5931c",15,0,0,0,0,0,0,0,6,0,0
"23aecfb8fccb1b0a9ab5d06aaf872927",13,0,0,0,0,0,0,0,26,0,0
"265348787db8940237b64139f561cb19",9,0,0,0,0,0,0,0,11,0,0
"27077b1a565bfb51ff404af3369dd0b0",14,0,0,0,0,0,0,0,41,0,0
"27f3f3e2247c15b54b2d798380f7ec62",562,0,0,0,0,0,0,0,182,186,0
